tweet_id,retweet_count,favorite_count
841314665196081154,4231,14736
841077006473256960,4880,21318
840761248237133825,1621,0
840728873075638272,14575,0
840696689258311684,889,11476
840268004936019968,5208,17887
839990271299457024,2065,12525
839549326359670784,7064,25550
839290600511926273,132,0
839239871831150596,5927,25211
838952994649550848,3660,18345
838921590096166913,1854,10418
838916489579200512,31,0
838831947270979586,10012,0
838561493054533637,1231,10241
838476387338051585,4337,20947
838201503651401729,9170,0
838150277551247360,303,1567
838085839343206401,1,134
838083903487373313,2838,16445
837820167694528512,7143,31807
837482249356513284,406,3605
837471256429613056,2059,11975
837110210464448512,2177,15062
836989968035819520,2111,11941
836753516572119041,4261,18105
836677758902222849,2021,11837
836260088725786625,3977,19938
836001077879255040,3886,17874
835685285446955009,7411,0
835574547218894849,3296,16631
835536468978302976,1540,0
835309094223372289,19136,0
835297930240217089,2736,15424
835264098648616962,1540,7227
835246439529840640,63,1989
835172783151792128,5288,24549
835152434251116546,2755,20930
834931633769889797,1490,10090
834786237630337024,5105,20203
834574053763584002,2307,12804
834477809192075265,9754,0
834458053273591808,1546,9022
834209720923721728,4320,19229
834167344700198914,3360,14809
834089966724603904,1962,9439
834086379323871233,2039,12224
833863086058651648,2210,12607
833826103416520705,3486,17065
833732339549220864,205,0
833722901757046785,2994,19658
833479644947025920,1886,13974
833124694597443584,4438,18976
832998151111966721,2010,12409
832769181346996225,38,0
832757312314028032,3314,15826
832682457690300417,2665,11134
832645525019123713,484,2736
832636094638288896,2558,14875
832397543355072512,2036,11227
832369877331693569,2918,16063
832273440279240704,2144,10642
832215909146226688,5714,0
832215726631055365,8578,0
832088576586297345,2,59
832040443403784192,8810,0
832032802820481025,4296,16757
831939777352105988,5649,22455
831926988323639298,34,319
831911600680497154,5964,25805
831670449226514432,1686,9779
831650051525054464,1783,6675
831552930092285952,2158,8445
831322785565769729,1442,8747
831315979191906304,1036,6170
831309418084069378,2263,11083
831262627380748289,1887,11147
830956169170665475,1374,7504
830583320585068544,15390,62334
830173239259324417,5231,0
830097400375152640,2691,9144
829878982036299777,4594,0
829861396166877184,1792,11505
829501995190984704,9754,29854
829449946868879360,1860,9858
829141528400556032,6759,22878
829011960981237760,15071,50202
828801551087042563,3154,0
828770345708580865,5386,24045
828708714936930305,10303,34202
828650029636317184,1233,8939
828409743546925057,1078,6036
828408677031882754,1183,7242
828381636999917570,2056,11853
828376505180889089,992,6976
828372645993398273,2723,11850
828361771580813312,165,2067
828046555563323392,2651,11038
828011680017821696,1983,9756
827933404142436356,4821,18811
827653905312006145,2789,14559
827600520311402496,864,7053
827324948884643840,2802,14928
827199976799354881,2058,9985
826958653328592898,4594,20283
826848821049180160,9314,33989
826615380357632002,3675,0
826598799820865537,229,4852
826598365270007810,2174,9432
826476773533745153,3888,17339
826240494070030336,2412,12509
826204788643753985,855,4593
826115272272650244,2863,14717
825876512159186944,1735,9911
825829644528148480,2327,11999
825535076884762624,16320,53864
825147591692263424,4172,17226
825120256414846976,1166,0
825026590719483904,1166,5899
824796380199809024,5084,0
824775126675836928,3264,14033
824663926340194305,1639,9928
824325613288833024,9862,11152
824297048279236611,3561,14195
824025158776213504,556,4572
823939628516474880,2526,10044
823719002937630720,10326,0
823699002998870016,2331,13187
823581115634085888,2435,12238
823333489516937216,22,662
823322678127919110,3711,14795
823269594223824897,9194,0
822975315408461824,3194,16343
822872901745569793,39816,123794
822859134160621569,2107,12425
822647212903690241,5942,0
822610361945911296,2725,13940
822489057087389700,5942,17077
822462944365645825,13101,26241
822244816520155136,9194,33042
822163064745328640,4363,0
821886076407029760,2133,10660
821813639212650496,3118,0
821765923262631936,1555,7890
821522889702862852,1628,7558
821421320206483457,5117,0
821407182352777218,3981,11081
821153421864615936,9,236
821149554670182400,1821,8091
821107785811234820,1967,9045
821044531881721856,2117,11928
820837357901512704,6222,0
820749716845686786,9170,29764
820690176645140481,2995,11561
820494788566847489,521,0
820446719150292993,2386,0
820314633777061888,521,3153
820078625395449857,5771,18597
820013781606658049,1080,0
819952236453363712,1080,5013
819924195358416896,4531,12207
819711362133872643,2865,12590
819588359383371776,1865,9141
819347104292290561,1115,6821
819238181065359361,379,2134
819227688460238848,6222,21754
819015337530290176,34461,0
819015331746349057,17744,0
819006400881917954,17744,42924
819004803107983360,34461,82496
818646164899774465,19385,0
818627210458333184,7044,21162
818614493328580609,2347,9282
818588835076603904,5675,0
818536468981415936,2265,10252
818307523543449600,7435,0
818259473185828864,2075,10397
818145370475810820,2363,11591
817908911860748288,739,4599
817827839487737858,25044,48501
817777686764523521,2517,10202
817536400337801217,2723,11089
817502432452313088,3134,0
817423860136083457,13553,31764
817415592588222464,885,5285
817181837579653120,7841,0
817171292965273600,1863,8290
817120970343411712,2407,11520
817056546584727552,1510,8120
816829038950027264,4378,0
816816676327063552,1886,9456
816697700272001025,2049,9219
816450570814898180,7435,28612
816336735214911488,1797,8153
816091915477250048,1980,8464
816062466425819140,944,0
816014286006976512,4868,0
815990720817401858,944,4680
815966073409433600,7841,21084
815745968457060357,3846,0
815736392542261248,2112,9281
815639385530101762,1549,7805
815390420867969024,3558,9810
814986499976527872,1184,7250
814638523311648768,2520,10673
814578408554463233,5441,0
814530161257443328,1737,8203
814153002265309185,8084,27192
813944609378369540,2947,0
813910438903693312,1727,8838
813812741911748608,13003,34557
813800681631023104,1643,7874
813217897535406080,6833,17642
813202720496779264,1701,8752
813187593374461952,4036,18779
813172488309972993,1805,8787
813157409116065792,2061,7367
813142292504645637,2238,8071
813130366689148928,418,4256
813127251579564032,2914,11185
813112105746448384,2555,9778
813096984823349248,3373,10016
813081950185472002,2587,9409
813066809284972545,1822,7532
813051746834595840,6826,19896
812781120811126785,1784,7139
812709060537683968,1349,6280
811386762094317568,5963,19820
810984652412424192,1329,5046
810896069567610880,1639,8515
810657578271330305,2461,10412
810284430598270976,10479,33240
810254108431155201,3154,13943
809920764300447744,3675,14756
809808892968534016,4560,0
809448704142938112,1363,6593
809220051211603969,5231,18835
809084759137812480,3289,12537
808838249661788160,2859,9622
808733504066486276,2030,7480
808501579447930884,2452,10734
808344865868283904,19385,40088
808134635716833280,5496,0
808106460588765185,2064,8366
808001312164028416,3297,11828
807621403335917568,3376,13813
807010152071229440,3623,12437
806629075125202948,32267,70419
806620845233815552,5128,0
806576416489959424,1820,4652
806542213899489280,2214,9714
806242860592926720,10847,0
806219024703037440,1132,6122
805958939288408065,4999,0
805932879469572096,1796,7864
805826884734976000,1710,6228
805823200554876929,7448,0
805520635690676224,1548,5473
804475857670639616,1887,5828
804413760345620481,3000,0
804026241225523202,14994,41956
803773340896923648,2581,9537
803692223237865472,6912,0
803638050916102144,3879,10357
803380650405482500,1766,7373
